#  file: fmRawProjectAuthors2013-Sep.txt
#  package: fmProjectData
#  description of file/package:
#
#  This package includes raw data files from our database of Freshmeat project 
#  information generated from the list of projects gathered in Sep of 2013
#
#  Raw data was inserted into database by running the scripts:
#  scraper.pl and url_resolver.pl on the RDF files provided by Freshmeat. Get 
#  these files like this:
#  curl -O http://download.freshmeat.net/backend/fm-projects.rdf.bz2
#
#  Scripts & raw data available at http://flossmole.org
#  Scripts written by Megan Squire and contributed to the FLOSSmole project
#
#  This data is free and available for any use (afterall we just spidered it ;).
#  We do however request that those using the data in any published form provide 
#  a citation to: FLOSSmole Project (2004-2013) 
#  The project is available at: http://flossmole.org
#
#  SELECT fp.project_id, fp.projectname_short, fpa.author_name, fpa.author_role 
#  FROM `fm_project_authors` fpa, fm_projects fp 
#  WHERE fp.datasource_id=387
#  AND fpa.datasource_id=387
#  AND fpa.project_id = fp.project_id
#  ORDER BY fp.project_id
#
#  datasource_id = 387 is the Sep 2013 run on freshmeat.
project_id	projectname_short	author_name	author_role
1191	cgiforum    	Markus Triska	Owner
1196	cgilua    	Andre Carregal	Owner
1200	cgiproxy    	James Marshall	Owner
1203	cgi_buffer    	Mark Nottingham	Owner
1204	cgu_utils    	Alexander I. Olefirenko	Owner
1211	themebuilder    	alphanumerica	Owner
1215	changetrack    	Ernst_A_Steinhoff	Owner
1217	chango    	Jerronimo	Owner
1220	charities_cron    	Stephen E. Sachs	Owner
1222	chbg    	Stevo Ondrejicka	Owner
1227	checkaliases    	djm	Owner
1229	checkbot    	Hans de Graaff	Owner
1233	checkinstall    	Izto	Owner
1234	checklinks    	James Marshall	Owner
1237	checkmails    	Jess Thrysoee	Owner
1239	checkservice    	Paul van Tilburg	Owner
1245	chemsuite    	Ricardo	Owner
1246	chemtool    	MKroeker	Owner
1251	chester    	Brett Wooldridge	Owner
1256	chinesecheckers    	Long Island Man (Jon Atkins)	Owner
1259	chirp    	Tom Honermann	Owner
1260	chkconfig    	Bo Adler	Owner
1263	chkwww    	Fredrik Steen	Owner
1270	chromium-bsu    	Paul Wise	Owner
1271	chrony    	Richard Curnow	Owner
1274	ciaoprolog    	Clip Lab	Owner
1277	cid    	Evelyn Mitchell	Owner
1279	cilk    	imipak	Owner
1280	cinclude2dot    	Darxus	Owner
1282	cingb    	Cinek	Owner
1284	cell    	saleslsn	Owner
1285	cipe    	Olaf Titz	Owner
1287	circlemud    	Jeremy Elson	Owner
1289	circuslinux!    	Bill Kendrick, New Breed Software	Owner
1296	citadel    	Art Cancro	Owner
