#  file: fmRawProjectStats2013-Sep.txt
#  package: fmProjectData
#  description of file/package:
#
#  This package includes raw data files from our database of Freshmeat project 
#  information generated from the list of projects gathered in 2013-Sep
#
#  Raw data was inserted into database by running the scripts:
#  scraper.pl and url_resolver.pl on the RDF files provided by Freshmeat. Get 
#  these files like this:
#  curl -O http://download.freshmeat.net/backend/fm-projects.rdf.bz2
#
#  Scripts & raw data available at http://flossmole.org
#  Scripts written by Megan Squire and contributed to the FLOSSmole project
#
#  This data is free and available for any use (afterall we just spidered it ;).
#  We do however request that those using the data in any published form provide 
#  a citation to: FLOSSmole Project (2004-2013) 
#  The project is available at: http://flossmole.org
#
#  SELECT project_id, projectname_short, vitality_score, vitality_percent, 
#  vitality_rank, popularity_score, popularity_percent, popularity_rank, rating, 
#  rating_count, rating_rank, subscriptions
#  FROM `fm_projects`
#  WHERE datasource_id=387
#  ORDER BY project_id
#
#  datasource_id = 387 is the 2013-Sep run on freshmeat.
project_id	projectname_short	vitality_score	vitality_percent	vitality_rank	popularity_score	popularity_percent	popularity_rank	rating	rating_count	rating_rank	subscriptions
287	antlr    	6.3    	NULL	NULL	258.91    	NULL	NULL	5    	6    	NULL	41    
288	antsalarm    	2.95    	NULL	NULL	60.46    	NULL	NULL	0    	0    	NULL	4    
289	anyjjavaide    	1.44    	NULL	NULL	35.16    	NULL	NULL	0    	0    	NULL	3    
291	aolinstantmessengeraim    	2.09    	NULL	NULL	80.91    	NULL	NULL	3    	4    	NULL	5    
292	aolserver    	5.68    	NULL	NULL	165.51    	NULL	NULL	5    	7    	NULL	22    
294	apache    	14.85    	NULL	NULL	13263.7    	NULL	NULL	291    	301    	NULL	1724    
297	apachejakartaregexp    	1.5    	NULL	NULL	112.77    	NULL	NULL	1    	1    	NULL	10    
298	apachejetspeed    	3.29    	NULL	NULL	134.91    	NULL	NULL	0    	0    	NULL	13    
299	apachejmeter    	3.46    	NULL	NULL	204.85    	NULL	NULL	0    	1    	NULL	28    
300	apachejserv    	3.4    	NULL	NULL	66.56    	NULL	NULL	1    	1    	NULL	4    
301	apachespfc    	1.0    	NULL	NULL	33.05    	NULL	NULL	0    	0    	NULL	0    
302	apachetoolbox    	11.2    	NULL	NULL	679.15    	NULL	NULL	22    	25    	NULL	224    
304	apache-owa    	1.77    	NULL	NULL	47.85    	NULL	NULL	0    	0    	NULL	1    
305	apache-ssl    	5.31    	NULL	NULL	142.46    	NULL	NULL	1    	2    	NULL	14    
308	apache2dot    	1.0    	NULL	NULL	53.25    	NULL	NULL	0    	0    	NULL	3    
309	apachearchive    	1.0    	NULL	NULL	44.26    	NULL	NULL	0    	0    	NULL	2    
310	apacheasp    	8.91    	NULL	NULL	223.83    	NULL	NULL	0    	0    	NULL	46    
313	pagekit    	2.95    	NULL	NULL	42.99    	NULL	NULL	0    	1    	NULL	1    
315	apachesession    	15.5    	NULL	NULL	86.44    	NULL	NULL	1    	1    	NULL	7    
319	apache-compile-howto    	6.09    	NULL	NULL	248.19    	NULL	NULL	4    	6    	NULL	57    
320	apalogfilter    	3.09    	NULL	NULL	50.6    	NULL	NULL	0    	0    	NULL	3    
322	apc-aa    	68.22    	NULL	NULL	94.36    	NULL	NULL	0    	0    	NULL	7    
325	apccomm    	4.35    	NULL	NULL	58.74    	NULL	NULL	1    	2    	NULL	5    
326	apcupsd    	4.25    	NULL	NULL	304.67    	NULL	NULL	7    	7    	NULL	80    
329	aphid    	2.86    	NULL	NULL	79.47    	NULL	NULL	0    	1    	NULL	4    
330	aphrodite    	1.0    	NULL	NULL	38.31    	NULL	NULL	0    	0    	NULL	1    
331	apirc    	68.62    	NULL	NULL	24.58    	NULL	NULL	0    	0    	NULL	1    
333	aplus    	3.41    	NULL	NULL	110.06    	NULL	NULL	1    	1    	NULL	8    
335	apmiser    	1.42    	NULL	NULL	88.99    	NULL	NULL	0    	0    	NULL	8    
338	app    	2.05    	NULL	NULL	55.52    	NULL	NULL	0    	0    	NULL	1    
340	anywhereoffice    	2.09    	NULL	NULL	71.87    	NULL	NULL	0    	0    	NULL	5    
341	applixwareperlapi    	1.0    	NULL	NULL	18.73    	NULL	NULL	0    	0    	NULL	0    
345	april    	1.82    	NULL	NULL	43.34    	NULL	NULL	0    	0    	NULL	1    
347	aps    	3.02    	NULL	NULL	166.09    	NULL	NULL	2    	2    	NULL	14    
348	apsr    	6.2    	NULL	NULL	118.93    	NULL	NULL	2    	2    	NULL	22    
349	apsfilter    	4.56    	NULL	NULL	155.56    	NULL	NULL	4    	4    	NULL	21    
353	apt-proxy    	3.8    	NULL	NULL	111.69    	NULL	NULL	2    	2    	NULL	8    
356	aquarium    	4.23    	NULL	NULL	70.0    	NULL	NULL	0    	0    	NULL	13    
357	arabeske    	5.54    	NULL	NULL	168.14    	NULL	NULL	1    	1    	NULL	30    
358	arachnebrowser    	69.46    	NULL	NULL	79.09    	NULL	NULL	5    	6    	NULL	7    
359	arad-onetable-editor    	1.0    	NULL	NULL	48.97    	NULL	NULL	0    	0    	NULL	1    
360	arc    	1.0    	NULL	NULL	74.8    	NULL	NULL	0    	0    	NULL	4    
362	arcem    	2.0    	NULL	NULL	57.71    	NULL	NULL	1    	1    	NULL	4    
364	archivezip    	1.43    	NULL	NULL	44.83    	NULL	NULL	1    	1    	NULL	2    
367	argante    	1.43    	NULL	NULL	30.85    	NULL	NULL	0    	0    	NULL	0    
368	argouml    	9.43    	NULL	NULL	540.71    	NULL	NULL	22    	23    	NULL	172    
369	argtable    	5.9    	NULL	NULL	222.29    	NULL	NULL	0    	0    	NULL	38    
372	arisyahooclient    	3.98    	NULL	NULL	46.67    	NULL	NULL	2    	2    	NULL	2    
374	ariadne    	58.91    	NULL	NULL	875.73    	NULL	NULL	4    	5    	NULL	99    
375	arianne    	6.59    	NULL	NULL	300.55    	NULL	NULL	6    	8    	NULL	55    
376	arkeiaanb    	119.32    	NULL	NULL	454.9    	NULL	NULL	9    	11    	NULL	41    
378	arla    	5.88    	NULL	NULL	125.76    	NULL	NULL	1    	1    	NULL	11    
381	armed    	1.42    	NULL	NULL	33.5    	NULL	NULL	0    	0    	NULL	1    
383	armymaker    	1.0    	NULL	NULL	21.91    	NULL	NULL	0    	0    	NULL	0    
385	arping    	26.8    	NULL	NULL	850.5    	NULL	NULL	4    	4    	NULL	104    
386	arpoison    	1.1    	NULL	NULL	68.34    	NULL	NULL	0    	0    	NULL	9    
389	arrow    	3.34    	NULL	NULL	52.93    	NULL	NULL	0    	0    	NULL	2    
394	artecas6escannerdriver    	2.25    	NULL	NULL	46.58    	NULL	NULL	1    	1    	NULL	1    
395	astyle    	34.85    	NULL	NULL	166.76    	NULL	NULL	8    	8    	NULL	29    
397	arts    	2.03    	NULL	NULL	154.27    	NULL	NULL	1    	3    	NULL	27    
398	arts++    	2.18    	NULL	NULL	20.71    	NULL	NULL	0    	0    	NULL	0    
399	artstream    	2.04    	NULL	NULL	34.53    	NULL	NULL	0    	0    	NULL	1    
400	as-gps    	1.0    	NULL	NULL	37.18    	NULL	NULL	0    	0    	NULL	0    
402	asapm    	5.79    	NULL	NULL	71.39    	NULL	NULL	1    	1    	NULL	2    
403	asbutton    	1.43    	NULL	NULL	18.92    	NULL	NULL	1    	1    	NULL	0    
404	ascd    	72.38    	NULL	NULL	25.2    	NULL	NULL	1    	1    	NULL	0    
405	ascii    	7.63    	NULL	NULL	145.31    	NULL	NULL	2    	2    	NULL	16    
406	aaprint    	1.0    	NULL	NULL	51.21    	NULL	NULL	0    	0    	NULL	1    
408	ascii2pdf    	1.01    	NULL	NULL	104.31    	NULL	NULL	0    	0    	NULL	8    
409	asciiartwidget    	1.0    	NULL	NULL	34.5    	NULL	NULL	0    	0    	NULL	1    
412	ascpu    	4.96    	NULL	NULL	70.1    	NULL	NULL	1    	1    	NULL	5    
